English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Mazaltepec Zapotec                                                               | zpy            |                |               
Mazanderani                                                                      | mzn            |                |               
MazatlГЎn Mazatec                                                                 | vmz            |                |               
MazatlГЎn Mixe                                                                    | mzl            |                |               
Mba                                                                              | mfc            |                |               
Mbala                                                                            | mdp            |                |               
Mbalanhu                                                                         | lnb            |                |               
Mbandja                                                                          | zmz            |                |               
Mbangala                                                                         | mxg            |                |               
Mbangi                                                                           | mgn            |                |               
Mbangwe                                                                          | zmn            |                |               
Mbara (Chad)                                                                     | mpk            |                |               
Mbati                                                                            | mdn            |                |               
Mbato                                                                            | gwa            |                |               
Mbay                                                                             | myb            |                |               
Mbe                                                                              | mfo            |                |               
Mbe'                                                                             | mtk            |                |               
Mbelime                                                                          | mql            |                |               
Mbere                                                                            | mdt            |                |               
Mbesa                                                                            | zms            |                |               
Mbessa                                                                           | emz            |                |               
Mbo (Cameroon)                                                                   | mbo            |                |               
Mbo (Democratic Republic of Congo)                                               | zmw            |                |               
Mboi                                                                             | moi            |                |               
Mboko                                                                            | mdu            |                |               
Mbole                                                                            | mdq            |                |               
Mbonga                                                                           | xmb            |                |               
Mbongno                                                                          | bgu            |                |               
Mbosi                                                                            | mdw            |                |               
Mbowe                                                                            | mxo            |                |               
Mbre                                                                             | mka            |                |               
Mbudum                                                                           | xmd            |                |               
Mbugu                                                                            | mhd            |                |               
Mbugwe                                                                           | mgz            |                |               
Mbuko                                                                            | mqb            |                |               
Mbukushu                                                                         | mhw            |                |               
Mbula                                                                            | mna            |                |               
Mbula-Bwazza                                                                     | mbu            |                |               
Mbule                                                                            | mlb            |                |               
Mbulungish                                                                       | mbv            |                |               
Mbum                                                                             | mdd            |                |               
Mbunda                                                                           | mck            |                |               
Mbunga                                                                           | mgy            |                |               
Mburku                                                                           | bbt            |                |               
Mbwela                                                                           | mfu            |                |               
MbyГЎ GuaranГ­                                                                     | gun            |                |               
Me'en                                                                            | mym            |                |               
Medebur                                                                          | mjm            |                |               
Media Lengua                                                                     | mue            |                |               
Mednyj Aleut                                                                     | mud            |                |               
Medumba                                                                          | byv            |                |               
Mefele                                                                           | mfj            |                |               
Megam                                                                            | mef            |                |               
Megleno Romanian                                                                 | ruq            |                |               
Mehek                                                                            | nux            |                |               
MehinГЎku                                                                         | mmh            |                |               
Mehri                                                                            | gdq            |                |               
Mekeo                                                                            | mek            |                |               
Mekmek                                                                           | mvk            |                |               
Mekwei                                                                           | msf            |                |               
Mel-Khaonh                                                                       | hkn            |                |               
Mele-Fila                                                                        | mxe            |                |               
Melo                                                                             | mfx            |                |               
Melpa                                                                            | med            |                |               
Memoni                                                                           | mby            |                |               
Mendalam Kayan                                                                   | xkd            |                |               
Mendankwe-Nkwen                                                                  | mfd            |                |               
Mende (Papua New Guinea)                                                         | sim            |                |               
Mende (Sierra Leone)                                                             | men            | men            |               
Mengaka                                                                          | xmg            |                |               
Mengen                                                                           | mee            |                |               
Mengisa                                                                          | mct            |                |               
Menka                                                                            | mea            |                |               
Menominee                                                                        | mez            |                |               
Mentawai                                                                         | mwv            |                |               
Menya                                                                            | mcr            |                |               
Meoswar                                                                          | mvx            |                |               
Mer                                                                              | mnu            |                |               
Meramera                                                                         | mxm            |                |               
Merei                                                                            | lmb            |                |               
Merey                                                                            | meq            |                |               
Meriam Mir                                                                       | ulk            |                |               
Merlav                                                                           | mrm            |                |               
Meru                                                                             | mer            |                |               
Merwari                                                                          | wry            |                |               
Mesaka                                                                           | iyo            |                |               
Mescalero-Chiricahua Apache                                                      | apm            |                |               
Mese                                                                             | mci            |                |               
Meskwaki                                                                         | sac            |                |               
Mesme                                                                            | zim            |                |               
Mesopotamian Arabic                                                              | acm            |                |               
Mesqan                                                                           | mvz            |                |               
Meta'                                                                            | mgo            |                |               
MetlatГіnoc Mixtec                                                                | mxv            |                |               
Mewari                                                                           | mtr            |                |               
Mewati                                                                           | wtm            |                |               
Mexican Sign Language                                                            | mfs            |                |               
Meyah                                                                            | mej            |                |               
Mezontla Popoloca                                                                | pbe            |                |               
Mezquital Otomi                                                                  | ote            |                |               
Mfinu                                                                            | zmf            |                |               
Mfumte                                                                           | nfu            |                |               
Mgbolizhia                                                                       | gmz            |                |               
Mi'kmaq                                                                          | mic            | mic            |               
MiahuatlГЎn Zapotec                                                               | zam            |                |               
Miami                                                                            | mia            |                |               
Mian                                                                             | mpt            |                |               
Miani                                                                            | pla            |                |               
Michif                                                                           | crg            |                |               
MichoacГЎn Mazahua                                                                | mmc            |                |               
MichoacГЎn Nahuatl                                                                | ncl            |                |               
Mid Grand Valley Dani                                                            | dnt            |                |               
Mid-Southern Banda                                                               | bjo            |                |               
Middle Watut                                                                     | mpl            |                |               
Midob                                                                            | mei            |                |               
Migaama                                                                          | mmy            |                |               
Migabac                                                                          | mpp            |                |               
Migum                                                                            | klm            |                |               
Miju-Mishmi                                                                      | mxj            |                |               
Mikasuki                                                                         | mik            |                |               
Mili                                                                             | ymh            |                |               
Miltu                                                                            | mlj            |                |               
Min Bei Chinese                                                                  | mnp            |                |               
Min Dong Chinese                                                                 | cdo            |                |               
Min Nan Chinese                                                                  | nan            |                |               
Min Zhong Chinese                                                                | czo            |                |               
Mina (Cameroon)                                                                  | hna            |                |               
Minangkabau                                                                      | min            | min            |               
Minanibai                                                                        | mcv            |                |               
Minaveha                                                                         | mvn            |                |               
Minderico                                                                        | drc            |                |               
Mindiri                                                                          | mpn            |                |               
Mingang Doso                                                                     | mko            |                |               
Mingrelian                                                                       | xmf            |                |               
Minica Huitoto                                                                   | hto            |                |               
Minidien                                                                         | wii            |                |               
Minokok                                                                          | mqq            |                |               
Minriq                                                                           | mnq            |                |               
Mintil                                                                           | mzt            |                |               
Minz Zhuang                                                                      | zgm            |                |               
Miqie                                                                            | yiq            |                |               
Mirandese                                                                        | mwl            | mwl            |               
Miraya Bikol                                                                     | rbl            |                |               
Mirgan                                                                           | zrg            |                |               
Miriwoong Sign Language                                                          | rsm            |                |               
Miriwoong                                                                        | mep            |                |               
Mirning                                                                          | gmr            |                |               
Miship                                                                           | mjs            |                |               
Misima-Panaeati                                                                  | mpx            |                |               
Mising                                                                           | mrg            |                |               
Mitla Zapotec                                                                    | zaw            |                |               
Mitlatongo Mixtec                                                                | vmm            |                |               
Mituku                                                                           | zmq            |                |               
Miu                                                                              | mpo            |                |               
Mixed Great Andamanese                                                           | gac            |                |               
Mixtepec Mixtec                                                                  | mix            |                |               
Mixtepec Zapotec                                                                 | zpm            |                |               
Miya                                                                             | mkf            |                |               
Miyako                                                                           | mvi            |                |               
Miyakubo Sign Language                                                           | ehs            |                |               
Miyobe                                                                           | soy            |                |               
Mlabri                                                                           | mra            |                |               
Mlap                                                                             | kja            |                |               
Mlomp                                                                            | mlo            |                |               
Mmaala                                                                           | mmu            |                |               
Mmen                                                                             | bfm            |                |               
Mo'da                                                                            | gbn            |                |               
Moba                                                                             | mfq            |                |               
Mobumrin Aizi                                                                    | ahm            |                |               
Mobwa Karen                                                                      | jkm            |                |               
Mochi                                                                            | old            |                |               
Mocho                                                                            | mhc            |                |               
MocovГ­                                                                           | moc            |                |               
Modang                                                                           | mxd            |                |               
Modern Greek (1453-)                                                             | gre            | gre            | el            
Modole                                                                           | mqo            |                |               
Moere                                                                            | mvq            |                |               
Mofu-Gudur                                                                       | mif            |                |               
Mogholi                                                                          | mhj            |                |               
Mogofin                                                                          | mfg            |                |               
Mogum                                                                            | mou            |                |               
Mohave                                                                           | mov            |                |               
Mohawk                                                                           | moh            | moh            |               
Moi (Congo)                                                                      | mow            |                |               
Moi (Indonesia)                                                                  | mxn            |                |               
Moikodi                                                                          | mkp            |                |               
Moingi                                                                           | mwz            |                |               
Moji                                                                             | ymi            |                |               
Mok                                                                              | mqt            |                |               
Moken                                                                            | mwt            |                |               
Mokerang                                                                         | mft            |                |               
Mokilese                                                                         | mkj            |                |               
Moklen                                                                           | mkm            |                |               
Mokole                                                                           | mkl            |                |               
Mokpwe                                                                           | bri            |                |               
Moksha                                                                           | mdf            | mdf            |               
Molbog                                                                           | pwm            |                |               
Moldova Sign Language                                                            | vsi            |                |               
Molengue                                                                         | bxc            |                |               
Molima                                                                           | mox            |                |               
Molmo One                                                                        | aun            |                |               
Molo                                                                             | zmo            |                |               
Molof                                                                            | msl            |                |               
Moloko                                                                           | mlw            |                |               
Mom Jango                                                                        | ver            |                |               
Moma                                                                             | myl            |                |               
Momare                                                                           | msz            |                |               
Mombo Dogon                                                                      | dmb            |                |               
Mombum                                                                           | mso            |                |               
Momina                                                                           | mmb            |                |               
Momuna                                                                           | mqf            |                |               
Mon                                                                              | mnw            |                |               
Mon-Khmer languages                                                              | mkh            | mkh            |               
Monastic Sign Language                                                           | mzg            |                |               
Mondropolon                                                                      | npn            |                |               
MondГ©                                                                            | mnd            |                |               
Mongo                                                                            | lol            | lol            |               
Mongol                                                                           | mgt            |                |               
Mongolia Buriat                                                                  | bxm            |                |               
Mongolian Sign Language                                                          | msr            |                |               
Mongolian languages                                                              | xgn            |                |               
Mongolian                                                                        | mon            | mon            | mn            
Mongondow                                                                        | mog            |                |               
Moni                                                                             | mnz            |                |               
Mono (Cameroon)                                                                  | mru            |                |               
Mono (Democratic Republic of Congo)                                              | mnh            |                |               
Mono (Solomon Islands)                                                           | mte            |                |               
Mono (USA)                                                                       | mnr            |                |               
Monom                                                                            | moo            |                |               
Monsang Naga                                                                     | nmh            |                |               
Montenegrin                                                                      | cnr            | cnr            |               
Montol                                                                           | mtl            |                |               
Monumbo                                                                          | mxk            |                |               
Monzombo                                                                         | moj            |                |               
Moo                                                                              | gwg            |                |               
Moose Cree                                                                       | crm            |                |               
MopГЎn Maya                                                                       | mop            |                |               
Mor (Bomberai Peninsula)                                                         | moq            |                |               
Mor (Mor Islands)                                                                | mhz            |                |               
Moraid                                                                           | msg            |                |               
Morawa                                                                           | mze            |                |               
Morelos Nahuatl                                                                  | nhm            |                |               
Morerebi                                                                         | xmo            |                |               
Moresada                                                                         | msx            |                |               
Mori Atas                                                                        | mzq            |                |               
Mori Bawah                                                                       | xmz            |                |               
Morigi                                                                           | mdb            |                |               
Morisyen                                                                         | mfe            |                |               
Moro                                                                             | mor            |                |               
Moroccan Arabic                                                                  | ary            |                |               
Moroccan Sign Language                                                           | xms            |                |               
Morokodo                                                                         | mgc            |                |               
Morom                                                                            | bdo            |                |               
Moronene                                                                         | mqn            |                |               
Morori                                                                           | mok            |                |               
Morouas                                                                          | mrp            |                |               
Mortlockese                                                                      | mrl            |                |               
Moru                                                                             | mgd            |                |               
Mosimo                                                                           | mqv            |                |               
Moskona                                                                          | mtj            |                |               
Mossi                                                                            | mos            | mos            |               
Mota                                                                             | mtt            |                |               
Motlav                                                                           | mlv            |                |               
Motu                                                                             | meu            |                |               
Mouk-Aria                                                                        | mwh            |                |               
Moundadan Chetty                                                                 | cty            |                |               
Mountain Koiali                                                                  | kpx            |                |               
Mouwase                                                                          | jmw            |                |               
Movima                                                                           | mzp            |                |               
Moyadan Itneg                                                                    | ity            |                |               
Moyon Naga                                                                       | nmo            |                |               
Mozambican Sign Language                                                         | mzy            |                |               
Mpade                                                                            | mpi            |                |               
Mpi                                                                              | mpz            |                |               
Mpiemo                                                                           | mcx            |                |               
Mpinda                                                                           | pnd            |                |               
Mpoto                                                                            | mpa            |                |               
Mpotovoro                                                                        | mvt            |                |               
Mpumpong                                                                         | mgg            |                |               
Mpuono                                                                           | zmp            |                |               
Mpur                                                                             | akc            |                |               
Mro-Khimi Chin                                                                   | cmr            |                |               
Mru                                                                              | mro            |                |               
Mser                                                                             | kqx            |                |               
Mt. Iraya Agta                                                                   | atl            |                |               
Mt. Iriga Agta                                                                   | agz            |                |               
Muak Sa-aak                                                                      | ukk            |                |               
Mualang                                                                          | mtd            |                |               
Mubami                                                                           | tsx            |                |               
Mubi                                                                             | mub            |                |               
Muda                                                                             | ymd            |                |               
Mudburra                                                                         | dmw            |                |               
Mudhili Gadaba                                                                   | gau            |                |               
Mudu Koraga                                                                      | vmd            |                |               
Muduga                                                                           | udg            |                |               
Mufian                                                                           | aoj            |                |               
Mugom                                                                            | muk            |                |               
Muinane                                                                          | bmr            |                |               
Mukha-Dora                                                                       | mmk            |                |               
Mukulu                                                                           | moz            |                |               
Mulam                                                                            | mlm            |                |               
Mulao                                                                            | giu            |                |               
Mulgi                                                                            | mvh            |                |               
Mullu Kurumba                                                                    | kpb            |                |               
Multiple languages                                                               | mul            | mul            |               
Mum                                                                              | kqa            |                |               
Mumuye                                                                           | mzm            |                |               
Muna                                                                             | mnb            |                |               
Munda languages                                                                  | mun            | mun            |               
Munda                                                                            | unx            |                |               
Mundabli                                                                         | boe            |                |               
Mundang                                                                          | mua            |                |               
Mundani                                                                          | mnf            |                |               
Mundari                                                                          | unr            |                |               
Mundat                                                                           | mmf            |                |               
MundurukГє                                                                        | myu            |                |               
Mungaka                                                                          | mhk            |                |               
Munggui                                                                          | mth            |                |               
Mungkip                                                                          | mpv            |                |               
Muniche                                                                          | myr            |                |               
Munit                                                                            | mtc            |                |               
Munji                                                                            | mnj            |                |               
Munsee                                                                           | umu            |                |               
Muong                                                                            | mtq            |                |               
Mur Pano                                                                         | tkv            |                |               
Muratayak                                                                        | asx            |                |               
Murik (Malaysia)                                                                 | mxr            |                |               
Murik (Papua New Guinea)                                                         | mtf            |                |               
Murkim                                                                           | rmh            |                |               
Murle                                                                            | mur            |                |               
Murrinh-Patha                                                                    | mwf            |                |               
Mursi                                                                            | muz            |                |               
Murui Huitoto                                                                    | huu            |                |               
Murupi                                                                           | mqw            |                |               
Musak                                                                            | mmq            |                |               
Musar                                                                            | mmi            |                |               
Musasa                                                                           | smm            |                |               
Musey                                                                            | mse            |                |               
Musgu                                                                            | mug            |                |               
Mushungulu                                                                       | xma            |                |               
Musi                                                                             | mui            |                |               
